Borough,year,month,Refuse,Paper,MGP
Bronx,2020,4,1923.2,105.3,139.6
Bronx,2021,2,1904.4,132.1,130.8
Bronx,2021,10,2328.5,143.1,137.1
Bronx,2021,11,505.4,34.8,36.4
Brooklyn,2021,1,2187.4,143.6,217.4
Brooklyn,2020,5,2325.3,142.4,220.4
Brooklyn,2021,4,2222.2,133.8,198.9
Brooklyn,2021,5,2390.8,118.9,193.5
Bronx,2020,5,1689.7,143.6,194.6
Bronx,2021,4,1501.1,156.9,193.0
Bronx,2020,12,1723.3,163.0,188.1
Bronx,2021,7,1766.4,157.9,189.9
Manhattan,2021,3,4539.3,1005.4,772.6
Manhattan,2020,6,3002.9,300.2,324.8
Manhattan,2021,4,2476.5,378.6,328.8
Manhattan,2020,1,1856.3,484.6,352.2
Manhattan,2020,12,1813.5,481.6,346.3
Manhattan,2021,8,1794.5,428.9,277.4
Manhattan,2020,4,2325.6,259.2,300.4
Manhattan,2020,9,2911.7,308.4,306.7
Manhattan,2021,10,2779.2,271.8,248.8
Manhattan,2021,8,2763.8,266.3,251.3
Bronx,2021,7,4313.3,339.1,403.5
Bronx,2020,10,4402.9,323.7,411.7
Bronx,2021,11,957.6,63.4,81.4
Brooklyn,2020,1,5299.1,714.1,545.0
Brooklyn,2020,9,6165.0,837.2,597.4
Brooklyn,2020,11,5682.1,691.0,518.5
Brooklyn,2021,7,5117.6,719.4,563.3
Brooklyn,2021,9,6071.4,805.5,557.8
Brooklyn,2020,6,4770.1,491.5,534.9
Brooklyn,2020,9,4779.5,528.6,512.8
Brooklyn,2020,8,4692.3,427.8,477.2
Brooklyn,2020,2,3452.5,330.8,325.7
Brooklyn,2021,11,1076.8,105.2,81.4
Manhattan,2021,10,4803.5,420.9,456.2
Manhattan,2021,2,1076.1,235.2,166.0
Manhattan,2020,11,1152.3,236.1,164.1
Manhattan,2021,9,1360.9,330.0,185.9
Manhattan,2021,11,347.4,61.5,42.9
Manhattan,2020,7,4280.1,963.4,746.5
Manhattan,2020,1,5085.0,1263.7,914.2
Manhattan,2020,6,4320.8,902.5,741.6
Manhattan,2020,3,4735.4,1128.5,824.2
Manhattan,2020,10,5017.6,1195.9,863.2
Manhattan,2020,11,4605.8,1013.6,729.1
Manhattan,2021,10,5081.2,1210.6,752.9
Bronx,2020,2,3081.1,178.2,293.7
Bronx,2020,4,3355.3,189.1,326.6
Bronx,2020,12,3740.1,311.9,398.7
Bronx,2020,11,3625.7,266.2,378.8
Bronx,2021,9,3496.4,286.2,371.7
Manhattan,2020,1,2788.6,619.2,487.0
Manhattan,2020,12,2245.3,280.0,280.0
Brooklyn,2021,7,3331.1,328.6,291.0
Brooklyn,2021,10,3346.6,325.9,270.6
Brooklyn,2021,8,3159.4,298.1,246.6
Manhattan,2020,1,2237.3,264.8,237.3
Manhattan,2020,9,2350.7,262.2,226.0
Manhattan,2020,4,1896.8,203.5,221.1
Bronx,2020,3,3584.9,282.7,456.5
Bronx,2021,1,3636.4,358.5,552.0
Bronx,2021,8,3817.6,349.2,559.7
Manhattan,2020,10,2418.5,563.0,453.2
Manhattan,2020,1,2303.8,541.2,460.7
Manhattan,2020,3,2278.7,461.3,394.3
Manhattan,2020,12,2305.2,536.6,424.1
Manhattan,2021,2,2041.3,453.7,342.0
Manhattan,2021,9,2487.0,614.3,386.4
Manhattan,2020,6,1207.8,286.0,224.9
Manhattan,2020,9,1329.3,356.9,224.4
Manhattan,2020,1,1347.5,444.1,283.0
Manhattan,2021,10,1469.5,397.1,249.9
Brooklyn,2020,7,3889.5,378.8,498.5
Brooklyn,2020,1,2947.4,297.0,403.6
Brooklyn,2021,6,3877.5,327.8,420.3
Bronx,2020,6,2354.0,240.5,276.5
Bronx,2021,7,2368.1,140.6,204.2
Bronx,2021,5,2138.0,147.6,191.9
Bronx,2020,3,1955.4,139.8,219.0
Bronx,2020,1,2176.8,172.6,236.4
